,Month,Day,Team,Opponent,Ball Possession %,Goal Scored,Free Kicks,Pass Accuracy %,Yellow Card,Red,1st Goal,Own goals,Own goal Time
78,6,26,Nigeria,Argentina,34,1,17,76,2,0,51.0,0.0,0.0
79,6,26,Peru,Australia,47,2,16,81,2,0,18.0,0.0,0.0
80,6,27,Brazil,Serbia,56,2,15,88,0,0,36.0,0.0,0.0
81,6,27,Costa Rica,Switzerland,40,2,10,82,3,0,56.0,0.0,0.0
82,6,27,Germany,Korea Republic,70,0,16,88,0,0,0.0,0.0,0.0
83,6,27,Korea Republic,Germany,30,2,8,74,4,0,90.0,0.0,0.0
84,6,27,Mexico,Sweden,65,0,11,83,3,0,0.0,1.0,74.0
85,6,27,Serbia,Brazil,44,0,11,78,3,0,0.0,0.0,0.0
86,6,27,Sweden,Mexico,35,3,16,67,2,0,50.0,0.0,0.0
87,6,27,Switzerland,Costa Rica,60,2,15,87,3,0,31.0,1.0,90.0
88,6,28,Belgium,England,52,1,14,88,2,0,51.0,0.0,0.0
89,6,28,Colombia,Senegal,57,1,18,83,1,0,74.0,0.0,0.0
90,6,28,England,Belgium,48,0,15,88,0,0,0.0,0.0,0.0
91,6,28,Japan,Poland,54,0,8,86,1,0,0.0,0.0,0.0
92,6,28,Panama,Tunisia,36,1,20,77,3,0,33.0,0.0,0.0
93,6,28,Poland,Japan,46,1,12,83,0,0,59.0,0.0,0.0
94,6,28,Senegal,Colombia,43,0,18,78,1,0,0.0,0.0,0.0
95,6,28,Tunisia,Panama,64,2,22,87,3,0,51.0,1.0,33.0
96,6,30,Argentina,France,59,3,21,86,5,0,41.0,0.0,0.0
97,6,30,France,Argentina,41,4,16,84,3,0,13.0,0.0,0.0
98,6,30,Portugal,Uruguay,61,1,13,84,1,0,55.0,0.0,0.0
99,6,30,Uruguay,Portugal,39,2,14,69,0,0,7.0,0.0,0.0
100,7,1,Croatia,Denmark,54,1,19,81,0,0,4.0,0.0,0.0
101,7,1,Denmark,Croatia,46,1,7,79,1,0,1.0,0.0,0.0
102,7,1,Russia,Spain,25,1,6,72,2,0,41.0,1.0,12.0
103,7,1,Spain,Russia,75,1,20,91,1,0,12.0,0.0,0.0
104,7,2,Belgium,Japan,56,3,10,87,0,0,69.0,0.0,0.0
105,7,2,Brazil,Mexico,47,2,20,83,2,0,51.0,0.0,0.0
106,7,2,Japan,Belgium,44,2,14,83,1,0,48.0,0.0,0.0
107,7,2,Mexico,Brazil,53,0,6,85,4,0,0.0,0.0,0.0
108,7,3,Colombia,England,48,1,15,78,6,0,90.0,0.0,0.0
109,7,3,England,Colombia,51,1,24,82,2,0,57.0,0.0,0.0
110,7,3,Sweden,Switzerland,37,1,13,73,1,0,66.0,0.0,0.0
111,7,3,Switzerland,Sweden,63,0,12,84,2,1,0.0,0.0,0.0
112,7,6,Belgium,Brazil,43,2,15,83,2,0,13.0,0.0,0.0
113,7,6,Brazil,Belgium,57,1,16,89,2,0,0.0,1.0,13.0
114,7,6,France,Uruguay,58,2,17,81,2,0,40.0,0.0,0.0
115,7,6,Uruguay,France,42,0,15,67,2,0,0.0,0.0,0.0
116,7,7,Croatia,Russia,62,2,26,82,4,0,39.0,0.0,0.0
117,7,7,England,Sweden,57,2,12,80,1,0,30.0,0.0,0.0
118,7,7,Russia,Croatia,38,2,18,69,1,0,31.0,0.0,0.0
119,7,7,Sweden,England,43,0,8,74,2,0,0.0,0.0,0.0
120,7,10,Belgium,France,60,0,7,90,3,0,0.0,0.0,0.0
121,7,10,France,Belgium,40,1,17,86,2,0,51.0,0.0,0.0
122,7,11,Croatia,England,54,2,17,79,2,0,68.0,0.0,0.0
123,7,11,England,Croatia,46,1,24,79,1,0,5.0,0.0,0.0
124,7,14,Belgium,England,43,2,5,88,1,0,4.0,0.0,0.0
125,7,14,England,Belgium,57,0,12,92,2,0,0.0,0.0,0.0
126,7,15,Croatia,France,61,2,15,83,1,0,28.0,0.0,0.0
127,7,15,France,Croatia,39,4,14,75,2,0,18.0,1.0,18.0
